dataset,k,rp_tr,rp_fro,rp_time,greedy_tr,greedy_fro,greedy_time,uniform_tr,uniform_fro,uniform_time,opt_tr,opt_fro
yolanda,10,,,,,,,,,,0.3928402709585582,0.05010036475649593
yolanda,20,,,,,,,,,,0.34439972897280496,0.039945687881864096
yolanda,30,,,,,,,,,,0.3030557805112031,0.03045439881853699
yolanda,40,,,,,,,,,,0.27214244620553457,0.02351481535403657
yolanda,50,,,,,,,,,,0.2491763097536479,0.01862222140817856
yolanda,60,,,,,,,,,,0.23192001043197374,0.015179782859400883
yolanda,70,,,,,,,,,,0.21814659176848217,0.012503238152732795
yolanda,80,,,,,,,,,,0.20762410951563892,0.010629111225879243
yolanda,90,,,,,,,,,,0.19972649975852383,0.009412237079251899
yolanda,100,,,,,,,,,,0.19392079099766346,0.008682149471575973
mnist_784,10,,,,,,,,,,0.33916934157818496,0.03895300002419209
mnist_784,20,,,,,,,,,,0.292279196441731,0.027621439135634626
mnist_784,30,,,,,,,,,,0.2634825467565987,0.02198957181449438
mnist_784,40,,,,,,,,,,0.24255856222975963,0.01834177923354607
mnist_784,50,,,,,,,,,,0.22668395049774873,0.01587393695547056
mnist_784,60,,,,,,,,,,0.2139007827928183,0.0140492851066048
mnist_784,70,,,,,,,,,,0.20322864726750153,0.012623407259406522
mnist_784,80,,,,,,,,,,0.19428687644542716,0.011517802920469734
mnist_784,90,,,,,,,,,,0.18644117438841032,0.01058947180548833
mnist_784,100,,,,,,,,,,0.1795524063338735,0.009813710626176201
jannis,10,,,,,,,,,,0.4405774475034409,0.09281999429217054
jannis,20,,,,,,,,,,0.3634897377528629,0.07255150747156904
jannis,30,,,,,,,,,,0.2915995612868885,0.04846109333879112
jannis,40,,,,,,,,,,0.23711903216019267,0.02476409691460172
jannis,50,,,,,,,,,,0.2153086907938611,0.01711350464593043
jannis,60,,,,,,,,,,0.20637251878073115,0.01573207860876032
jannis,70,,,,,,,,,,0.19843993455841175,0.01456024285043137
jannis,80,,,,,,,,,,0.1912329878641587,0.013515990967282272
jannis,90,,,,,,,,,,0.18512751325683616,0.012712063320437096
jannis,100,,,,,,,,,,0.1797267866572215,0.012047523648041665
volkert,10,,,,,,,,,,0.2503585646067939,0.03682250107083135
volkert,20,,,,,,,,,,0.20428201509344268,0.025117365709403584
volkert,30,,,,,,,,,,0.17578026086877604,0.018885461340724993
volkert,40,,,,,,,,,,0.15705019922534208,0.015449448184575717
volkert,50,,,,,,,,,,0.14319058377015442,0.013208614323508646
volkert,60,,,,,,,,,,0.13248256903538616,0.011671190651163888
volkert,70,,,,,,,,,,0.12339437900330973,0.010426862435203367
volkert,80,,,,,,,,,,0.11545562750664515,0.009366867725238736
volkert,90,,,,,,,,,,0.10867427395383451,0.008510914904498615
volkert,100,,,,,,,,,,0.10280329892877187,0.007808147331687692
creditcard,10,,,,,,,,,,0.29389455199094355,0.07946895228055105
creditcard,20,,,,,,,,,,0.1655467042849777,0.022023151078247205
creditcard,30,,,,,,,,,,0.1377315711979271,0.013002549596891719
creditcard,40,,,,,,,,,,0.12794469219317325,0.011682027222544326
creditcard,50,,,,,,,,,,0.12069753099044067,0.010909351788814655
creditcard,60,,,,,,,,,,0.11401363092728167,0.010207039967821756
creditcard,70,,,,,,,,,,0.10777467098054952,0.009553177336264299
creditcard,80,,,,,,,,,,0.1018998393712496,0.008933559256168452
creditcard,90,,,,,,,,,,0.09633504609664877,0.008338481254687953
creditcard,100,,,,,,,,,,0.09108973530247602,0.007771576858813134
hls4ml_lhc_jets_hlf,10,,,,,,,,,,0.08065746982685357,0.0310076372209254
hls4ml_lhc_jets_hlf,20,,,,,,,,,,0.03484441076968746,0.01008661756515536
hls4ml_lhc_jets_hlf,30,,,,,,,,,,0.02086214187705141,0.005284976706564233
hls4ml_lhc_jets_hlf,40,,,,,,,,,,0.013924844745272785,0.0031929692041538604
hls4ml_lhc_jets_hlf,50,,,,,,,,,,0.009937206532945237,0.002083031333566132
hls4ml_lhc_jets_hlf,60,,,,,,,,,,0.007489037550361077,0.001470932297472562
hls4ml_lhc_jets_hlf,70,,,,,,,,,,0.005824804539287294,0.0010758380895224298
hls4ml_lhc_jets_hlf,80,,,,,,,,,,0.004673354030726966,0.0008235593378209077
hls4ml_lhc_jets_hlf,90,,,,,,,,,,0.0038301756585115377,0.0006495472574202093
hls4ml_lhc_jets_hlf,100,,,,,,,,,,0.0031890623346925756,0.0005235525671001476
