k,rp_tr,rp_fro,greedy_tr,greedy_fro
10,42,50,488,981
11,46,50,501,982
12,46,53,510,992
13,50,55,522,993
14,50,55,533,
15,55,58,538,
16,55,58,550,
17,58,64,554,
18,64,66,567,
19,66,66,580,
20,71,73,590,
21,73,73,597,
22,79,81,610,
23,81,82,615,
24,82,82,622,
25,82,82,632,
26,93,93,645,
27,98,98,649,
28,100,100,655,
29,108,108,660,
30,108,108,669,
31,108,114,683,
32,118,118,693,
33,119,119,705,
34,129,124,715,
35,132,132,721,
36,133,134,729,
37,136,136,737,
38,140,140,748,
39,149,140,757,
40,160,160,766,
41,160,160,778,
42,166,160,790,
43,166,166,795,
44,171,171,803,
45,179,171,812,
46,190,190,816,
47,192,192,821,
48,197,197,829,
49,197,197,836,
50,207,210,846,
51,211,217,855,
52,217,226,859,
53,226,226,864,
54,226,226,870,
55,232,238,877,
56,238,243,884,
57,243,251,887,
58,251,259,896,
59,256,259,902,
60,259,263,909,
61,259,273,916,
62,264,276,922,
63,273,287,924,
64,276,307,929,
65,287,314,936,
66,287,314,939,
67,300,330,945,
68,307,330,951,
69,314,346,956,
70,314,351,963,
71,324,354,963,
72,330,370,966,
73,330,382,969,
74,336,391,975,
75,346,394,981,
76,350,394,982,
77,353,418,984,
78,357,427,991,
79,368,433,993,
80,370,443,995,
81,376,446,1000,
82,379,446,,
83,382,469,,
84,391,469,,
85,394,489,,
86,394,489,,
87,394,509,,
88,405,513,,
89,418,516,,
90,418,520,,
91,418,526,,
92,427,532,,
93,428,540,,
94,428,558,,
95,437,563,,
96,441,569,,
97,443,574,,
98,443,574,,
99,446,587,,
100,446,592,,
101,458,596,,
102,464,612,,
103,468,618,,
104,468,621,,
105,469,621,,
106,469,633,,
107,474,638,,
108,481,644,,
109,482,645,,
110,487,645,,
111,489,650,,
112,489,650,,
113,492,664,,
114,500,664,,
115,500,671,,
116,507,681,,
117,507,681,,
118,509,684,,
119,510,684,,
120,515,692,,
121,516,695,,
122,516,706,,
123,519,706,,
124,520,706,,
125,523,706,,
126,526,718,,
127,532,723,,
128,532,723,,
129,532,723,,
130,532,723,,
131,540,723,,
132,540,723,,
133,544,743,,
134,550,743,,
135,552,744,,
136,552,745,,
137,558,756,,
138,558,756,,
139,558,756,,
140,563,756,,
141,563,762,,
142,563,771,,
143,569,771,,
144,569,771,,
145,574,774,,
146,574,774,,
147,574,787,,
148,579,787,,
149,583,795,,
150,587,797,,
