dataset,k,tr,fro,time
yolanda,10,0.5019321812342723,0.1167951250744263,0.06643795967102051
yolanda,10,0.49952682637272117,0.10863605418782248,0.06790447235107422
yolanda,10,0.4790430752078897,0.09512576127972273,0.16214704513549805
yolanda,10,0.49872824562886897,0.10693689934298053,0.14960646629333496
yolanda,10,0.49480941177791354,0.11111544411470571,0.12911224365234375
yolanda,10,0.5105692753146313,0.13226055364131842,0.0965719223022461
yolanda,10,0.48686875485591047,0.09853586061264837,0.12719178199768066
yolanda,10,0.489424901404556,0.10295799557047806,0.08290290832519531
yolanda,10,0.4910874894173381,0.10526752935180426,0.16979575157165527
yolanda,10,0.48751013405889615,0.10015881294490334,0.09033417701721191
yolanda,50,0.377079078980853,0.050192968510292355,0.6559545993804932
yolanda,50,0.38183221070756224,0.05293293765279081,0.34230589866638184
yolanda,50,0.38145400130088414,0.05247543604300861,0.3276045322418213
yolanda,50,0.3817768084257046,0.05172772631717564,0.6565849781036377
yolanda,50,0.3744477239587305,0.04938134242118299,0.7250661849975586
yolanda,50,0.37219888568956017,0.048374853665063916,0.4082489013671875
yolanda,50,0.3726022034784079,0.049258761510829294,0.3911459445953369
yolanda,50,0.37080630727588415,0.04755883912697607,0.3590526580810547
yolanda,50,0.3729595154676377,0.048845562944446634,0.3257102966308594
yolanda,50,0.3758934439393468,0.04938156731081329,0.4128153324127197
yolanda,100,0.31064029413379474,0.03229053536912189,1.3265728950500488
yolanda,100,0.3218615328520984,0.03553477319560082,0.5600581169128418
yolanda,100,0.30955593779776835,0.03202850240184289,0.6909289360046387
yolanda,100,0.31118330166720887,0.03245500276205806,1.2119412422180176
yolanda,100,0.313004774614907,0.03279650291115178,0.7245354652404785
yolanda,100,0.3133132728760327,0.03321412200324544,0.704359769821167
yolanda,100,0.3110989331009281,0.03257477238724675,0.5218329429626465
yolanda,100,0.31315751797324953,0.03299172582497623,0.9739875793457031
yolanda,100,0.32357788840719826,0.036042242986884215,1.3939096927642822
yolanda,100,0.3138857323435777,0.03312783609911884,0.656102180480957
yolanda,200,0.253208486343154,0.01972329920957021,1.4965777397155762
yolanda,200,0.2548211209637369,0.020133766194476013,1.703301191329956
yolanda,200,0.25218349130639633,0.019509994255853206,1.253366470336914
yolanda,200,0.25303681662308825,0.01961028251171846,1.3328819274902344
yolanda,200,0.2590754217745112,0.021220478823194305,2.573575735092163
yolanda,200,0.2516787892712146,0.019316779854575566,1.189197301864624
yolanda,200,0.2552754512758496,0.020063566739511398,1.6598896980285645
yolanda,200,0.25352311544642187,0.019745260181692974,2.2787294387817383
yolanda,200,0.2527259878218621,0.01961307802922148,1.5344493389129639
yolanda,200,0.2540515909383849,0.019771103874572434,1.542100191116333
yolanda,300,0.22141911898667863,0.013974961389414047,3.003361701965332
yolanda,300,0.22512547723057383,0.014993220935011532,2.819772243499756
yolanda,300,0.22087553629245782,0.01390925336372642,2.9465060234069824
yolanda,300,0.22362454790105193,0.01450084936861699,3.300123453140259
yolanda,300,0.2237113452768929,0.014553469892554217,3.836453914642334
yolanda,300,0.2234375024895159,0.014554579384885873,4.288414239883423
yolanda,300,0.22281413533453615,0.014369679922938344,2.807448387145996
yolanda,300,0.22295811097536297,0.014321387541102074,3.6888482570648193
yolanda,300,0.22265042238056612,0.014358772264626911,3.7397987842559814
yolanda,300,0.22689608090936972,0.01547947007252572,3.239107131958008
yolanda,400,0.20283346161843152,0.011439727736492463,5.409438610076904
yolanda,400,0.20217786823325906,0.011462827457299658,3.386124849319458
yolanda,400,0.20352192008064043,0.011759971411114963,5.203555583953857
yolanda,400,0.20286453896904333,0.011674656120156411,5.4394261837005615
yolanda,400,0.20371833716121587,0.011811693138369196,5.296043157577515
yolanda,400,0.20221628488026325,0.011399373205982636,4.343363285064697
yolanda,400,0.20343198169391913,0.01173641653269879,5.725385427474976
yolanda,400,0.20274492362624957,0.01150193619583426,4.034899711608887
yolanda,400,0.20328975199052282,0.011643863678127803,4.094329357147217
yolanda,400,0.20285313085617213,0.011619517741639895,4.110823392868042
yolanda,500,0.18760029849032409,0.009824600723837793,6.108654975891113
yolanda,500,0.18850715196526857,0.010079039191386254,4.869814872741699
yolanda,500,0.18769674257717517,0.0097916726819095,3.7958712577819824
yolanda,500,0.18705070934733048,0.009673075338956156,6.429222345352173
yolanda,500,0.18782513730715145,0.009914776494265259,5.015998601913452
yolanda,500,0.18827990918362053,0.009896118144063479,5.659230470657349
yolanda,500,0.1883282700515178,0.010039443633494223,4.084922790527344
yolanda,500,0.1879496471345903,0.009891376611792981,4.286194562911987
yolanda,500,0.1876277858639466,0.009829394335422785,4.6026365756988525
yolanda,500,0.1885391689750552,0.009949384960797648,3.5583508014678955
yolanda,600,0.17558895795823076,0.008698816608440246,6.943346261978149
yolanda,600,0.17547975280275235,0.008721522937510103,5.903048753738403
yolanda,600,0.17606079594254834,0.008702039623946499,6.392318487167358
yolanda,600,0.17537482076061423,0.008599171999755965,4.599060297012329
yolanda,600,0.17541518990648144,0.008599618286032683,5.562201976776123
yolanda,600,0.17501742841919135,0.008633182046404576,6.937990188598633
yolanda,600,0.17544059897424427,0.008617413206699167,6.343976259231567
yolanda,600,0.1754828298595669,0.008634918218237244,6.196723937988281
yolanda,600,0.17641432386910516,0.00891392054822324,5.235498905181885
yolanda,600,0.17576640811351038,0.008881731315455296,7.75288462638855
yolanda,700,0.16586773565505605,0.008016195182997092,7.26668643951416
yolanda,700,0.164971800156592,0.007862433148646394,10.968928813934326
yolanda,700,0.16523469909349484,0.00793115348828634,7.317453861236572
yolanda,700,0.16481117497880668,0.00785586224681715,8.426156997680664
yolanda,700,0.16538237133920047,0.007903326983371246,8.285075187683105
yolanda,700,0.16504787131352677,0.00795070493215321,6.211457014083862
yolanda,700,0.16532980355547935,0.007904208959487216,7.160212278366089
yolanda,700,0.16505729966659255,0.007959371180851446,7.569501638412476
yolanda,700,0.16552707179707574,0.007935183287792004,7.407811403274536
yolanda,700,0.16522829122520713,0.007931150661515066,7.055721759796143
yolanda,800,0.15594298662637382,0.007252552586774112,7.659559011459351
yolanda,800,0.1558527478308078,0.007211853453681553,8.021569967269897
yolanda,800,0.15600657343915506,0.007234425456541111,8.9087975025177
yolanda,800,0.15629776546749616,0.007147700182896692,11.080110311508179
